id_installation,installation,code_commune,commune,epci_code,epci_nom,code_departement,departement,equipments_total,bassins_total,operational_status_code,operational_status_label,operational_status_reason,status_source,status_source_url,status_reviewed_at,status_confidence,status_verified_by,status_is_manual,status_override_comment,survey_date_latest,state_change_date_latest
I592910011,Piscine André Leduc,59291,Hautmont,200043396,CA Maubeuge Val de Sambre,59,Nord,2,2,closed,Fermé / hors service,Le site municipal mentionne explicitement la piscine André-Leduc fermée en 2019.,Mairie d'Hautmont,https://www.mairie-hautmont.fr/les-quartiers-dhautmont/,2026-03-11,Forte,,1,Le site municipal mentionne explicitement la piscine André-Leduc fermée en 2019.,2025-03-31,2023-11-20
I592950020,Piscine intercommunale d'Hazebrouck,59295,Hazebrouck,200040947,CC de Flandre Intérieure,59,Nord,2,2,closed,Fermé / hors service,Le procès-verbal municipal de mai 2025 indique explicitement que la piscine d'intérêt communautaire d'Hazebrouck est fermée définitivement depuis décembre 2024 pour raisons techniques.,Ville d'Hazebrouck,https://www.ville-hazebrouck.fr/download/file/13952?key=JveZPe3zsLqf%2FMFO4CyMjA%3D%3D,2026-03-16,Forte,,1,Le procès-verbal municipal de mai 2025 indique explicitement que la piscine d'intérêt communautaire d'Hazebrouck est fermée définitivement depuis décembre 2024 pour raisons techniques.,2025-03-31,2024-05-14
I593240009,PISCINE COUBERTIN,59324,Jeumont,200043396,CA Maubeuge Val de Sambre,59,Nord,1,1,closed,Fermé / hors service,"Le rapport d'activités 2024 de l'agglomération mentionne en juillet 2025 la déconstruction de la piscine Pierre de Coubertin à Jeumont, ce qui confirme la fermeture définitive de l'ancien site.",Agglo Maubeuge-Val de Sambre,https://agglo-maubeugevaldesambre.fr/wp-content/uploads/2025/09/Rapport-dactivites-2024.pdf,2026-03-16,Forte,,1,"Le rapport d'activités 2024 de l'agglomération mentionne en juillet 2025 la déconstruction de la piscine Pierre de Coubertin à Jeumont, ce qui confirme la fermeture définitive de l'ancien site.",2025-03-31,2024-04-24
I593400009,PISCINE PAUL HANCOLAS ET SALLE DEMARTINICOURT,59340,Leffrinckoucke,245900428,CU de Dunkerque,59,Nord,5,2,closed,Fermé / hors service,"Le magazine municipal hiver 2024 indique qu'un espace multisports a été aménagé dans l'ancienne piscine Paul Haucolas, ce qui confirme que l'ancienne piscine n'est plus en exploitation.",Commune de Leffrinckoucke,https://leffrinckoucke.fr/wp-content/uploads/Magazine_Leffrinckou_Quoi_n16_Hiver_2024.pdf,2026-03-16,Forte,,1,"Le magazine municipal hiver 2024 indique qu'un espace multisports a été aménagé dans l'ancienne piscine Paul Haucolas, ce qui confirme que l'ancienne piscine n'est plus en exploitation.",2025-03-31,2024-04-24
I593500108,Piscine Olympique Marx Dormoy,59350,Lille,200093201,Métropole Européenne de Lille,59,Nord,5,2,closed,Fermé / hors service,La Ville de Lille indique sur la concertation officielle que la piscine Marx Dormoy a fermé définitivement en juin 2025 et qu'un bassin provisoire doit la remplacer en 2026.,Ville de Lille,https://jeparticipe.lille.fr/processes/TransformerLillefives/f/49/proposals/611,2026-03-16,Forte,,1,La Ville de Lille indique sur la concertation officielle que la piscine Marx Dormoy a fermé définitivement en juin 2025 et qu'un bassin provisoire doit la remplacer en 2026.,2025-03-31,2024-04-24
I595270004,"Complexe Piscine, volley",59527,Saint-André-lez-Lille,200093201,Métropole Européenne de Lille,59,Nord,5,2,closed,Fermé / hors service,"La ville indique que la piscine municipale a été fermée immédiatement en décembre 2022 pour raisons de sécurité et qu'une nouvelle piscine métropolitaine n'est attendue qu'entre 2028 et 2029, ce qui confirme la fermeture durable du site actuel.",Ville de Saint-André-lez-Lille,https://www.villesaintandre.fr/15463-piscine-municipale.htm,2026-03-16,Forte,,1,"La ville indique que la piscine municipale a été fermée immédiatement en décembre 2022 pour raisons de sécurité et qu'une nouvelle piscine métropolitaine n'est attendue qu'entre 2028 et 2029, ce qui confirme la fermeture durable du site actuel.",2025-03-31,2020-01-08
I806200031,Piscine Tournesol,80620,Péronne,200037059,CC de la Haute Somme (Combles - Péronne - Roisel),80,Somme,3,1,closed,Fermé / hors service,"Le procès-verbal communautaire de février 2018 mentionne explicitement la démolition de la piscine Tournesol rue Saint-Denis à Péronne, en lien avec la construction du centre aquatique O2 Somme.",Communauté de Communes de la Haute Somme,https://www.coeurhautesomme.fr/wp-content/uploads/2023/11/180201_PV-du-Conseil-Commuanutaire.pdf,2026-03-16,Forte,,1,"Le procès-verbal communautaire de février 2018 mentionne explicitement la démolition de la piscine Tournesol rue Saint-Denis à Péronne, en lien avec la construction du centre aquatique O2 Somme.",2025-03-31,2011-11-22
I023340006,Piscine,02334,Fresnoy-le-Grand,240200493,CC du Pays du Vermandois,02,Aisne,3,2,temporary_closed,Fermé temporairement / travaux,"La page officielle présente en mars 2026 le centre aquatique du Vermandois comme un site en rénovation, avec photos de chantier datées de janvier et mars 2026.",CC du Pays du Vermandois,https://cc-vermandois.com/centre-aquatique-du-vermandois,2026-03-16,Forte,,1,"La page officielle présente en mars 2026 le centre aquatique du Vermandois comme un site en rénovation, avec photos de chantier datées de janvier et mars 2026.",2025-03-31,2024-04-23
I590080007,piscine municipale,59008,Aniche,245901152,CC Cœur d'Ostrevent,59,Nord,1,1,temporary_closed,Fermé temporairement / travaux,"La ville d'Aniche a publié le 1er juin 2025 un arrêté de péril imminent concernant la piscine Tournesol après un incendie criminel, ce qui confirme une fermeture temporaire du site.",Ville d'Aniche,https://www.aniche.fr/actualites/nouvelles/2025-juin/14308-arrete-de-peril-imminent-piscine-tournesol-rue-leo-lagrange-suite-a-un-incendie-criminel,2026-03-16,Forte,,1,"La ville d'Aniche a publié le 1er juin 2025 un arrêté de péril imminent concernant la piscine Tournesol après un incendie criminel, ce qui confirme une fermeture temporaire du site.",2025-03-31,2015-07-15
I590280009,PISCINE MUNICIPALE,59028,Auby,200044618,CA Douaisis Agglo,59,Nord,2,2,temporary_closed,Fermé temporairement / travaux,Le site municipal annonce le 22 janvier 2026 une fermeture temporaire pour problème technique sans date de réouverture.,Ville d'Auby,https://auby.fr/2026/01/22/la-piscine-municipale-temporairement-fermee-pour-un-probleme-technique/,2026-03-11,Forte,,1,Le site municipal annonce le 22 janvier 2026 une fermeture temporaire pour problème technique sans date de réouverture.,2025-03-31,2015-09-29
